SS1,SS2,SS3,SS4,SS5,MS1,MS2,MS3,MS4,MS5,LS1,LS2,LS3,LS4,LS5,ELS1,ELS2,ELS3,ELS4,ELS5
325507,441287,126531,355894,443657,513492,767131,913003,1014861,1061576,1338849,1019125,1427862,1838919,1294114,2879417,6299349,10094196,9014671,12115916
29301,29952,26858,40214,35113,43897,49406,61680,75078,103353,120062,165914,179591,220206,264808,258421,237849,233094,302219,311544
0.65,0.65,0.63,0.71,0.78,0.76,0.71,0.79,0.80,0.79,0.78,0.78,0.80,0.78,0.81,0.78,0.82,0.83,0.83,0.83
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.75,0.69,0.74,0.75,0.72,0.75,0.73,0.75,0.76,0.77,0.75,0.76,0.75,0.76,0.76,0.77,0.79,0.80,0.80,0.79
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
